id,qid1,qid2,question1,question2,is_duplicate
283,567,568,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,0
284,569,570,How can I make money online with free of cost?,How do I to make money online?,1
285,571,572,Where can I buy best quality customized cupcakes in Gold Coast?,Where can I find delicious cupcakes at Gold Coast?,1
286,573,574,How successful was odd even plan?,How successful was the Delhi's Odd-even plan?,1
287,575,576,If there will be a war between India and Pakistan who will win?,Who will win if a war starts between India and Pakistan?,1
288,577,578,How do you deal with a fear of dying?,How can you reduce your fear of dying?,1
289,579,580,What would be the estimated cost of repairing the cracked screen of iphone 6?,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,0
290,581,582,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,What are the most interesting products and innovations that Ball is coming out with in 2016?,0
291,583,584,"Is there an end to the universe, and if not, is the universe infinite?",Is the Universe infinite or is there an end to the Universe?,1
292,585,586,What is CPAGrip.com?,What is bestmytest.com?,0
293,587,588,How much funds should I raise?,How much money should I raise?,1
294,589,590,What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,0
295,591,592,What will be the effect of banning 500 and 1000 notes on stock markets in India?,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,1
296,593,594,How does concentric contractions differ from eccentric contractions?,How do concentric and eccentric contraction compare and contrast?,1
297,595,596,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0
298,597,598,On what online platforms can I post ads for beer money opportunity?,What online platforms can I post ads for beer money opportunity?,0
299,599,600,What the meaning of this all life?,What's are the meaning of life?,1
300,601,602,How should I start small business effectively?,How should I start a small business in construction?,0
301,603,604,How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,0
302,605,606,Do you need friends?,Why do we need friends?,0
303,607,608,Do I exist?,Do we exist?,0
304,609,610,Which are the best Hollywood thriller movies?,What are the best thriller movie in Hollywood?,1
305,611,612,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,0
306,613,614,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,0
307,615,616,What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelor’s degree in Homeland Security?,1
308,617,618,Which are the best books to understand calculus?,What are good books to self study calculus?,1
309,619,620,Why and how did you break up with her/him?,How and why did you break up with your ex?,1
310,621,622,Can I use Jio SIM in iPhone 5s?,Does iPhone 5S support JIO VoLTE?,0
311,623,624,What are some unwritten rules in USA?,What are some unwritten rules you have for your home?,0
312,625,626,What is the best answer to what you did in two years gap in a job interview?,What is the best excuse to explain a gap (of one or two years) in your job career for a job interview?,1
313,627,628,What are the best songs for low voices?,What are some songs for a sweet airy mezzo voice?,0
314,629,630,Can anyone predict my birth chart?,What can you tell me regarding this birth chart?,0
315,631,632,When was the birth of the trigonometric functions?,Who were the creators of trigonometry?,0
316,633,634,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?","People say ""don't try to please others."" Does being nice to others mean pleasing them?",0
317,635,636,What do countries do to prevent war?,How should countries prevent war?,1
318,637,638,How can I become a billionaire?,How can I become a billionaire (in finance)?,1
319,639,640,Why should I learn web design?,How can I learn about web design?,0
320,641,642,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,0
321,643,644,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,1
322,645,646,Why does understanding death philosophical?,What makes understanding death philosophical?,1
323,647,648,Why are dogs considered omnivores?,Are dogs carnivorous animals?,1
324,649,650,What it is like to be cheated upon in a relationship?,What is it like to be in a relationship with someone you cheated with?,0
325,651,652,How do I know if someone blocked my texts?,If I turn of my user id off can I text someone that blocked me?,0
326,653,654,What are the most interesting foods you have eaten in any country?,What is the most delicious dish you've ever eaten and why?,1
327,655,656,What is it like to be a private banker?,What is like to be a private banker in Switzerland?,0
328,657,658,What is journalism for you?,What is journalism?,0
329,659,660,How can one increase concentration?,How can I improve my concentration?,1
330,661,662,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?","How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!",0
331,663,664,What are the pros and cons of the German Shepherd dog?,What are the pros and cons of having a pet German Shepherd?,1
332,665,666,What is the difference between deism and agnosticism?,What is the difference between a hobby and a habit?,0
333,667,668,Why do male porn stars masturbate to ejaculate?,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,0
334,669,670,How much CGPA I require to get an admission for MTech CSE at IIT Madras?,Can I get a job in a consulting firm after Mtech in CSE from IIT?,0
335,671,672,Is there a biological reason that people cry when they are emotional?,What is the biological reason for crying?,0
